,longitude,latitude,Postal_Code,Region,Province,Municipality,Price,Price_m2,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
8630,4.443103143199102,50.83109966996703,1150,0,0,Woluwe-Saint-Pierre,550000,5729,1,SERVICE_FLAT,6,2,96,0,0,0,1,44,0,0,2,0,1,1
8631,5.430129978484226,50.593410925357574,4400,1,7,Flémalle,239000,1838,0,HOUSE,3,5,130,0,0,0,1,70,0,0,2,0,0,0
8632,4.349449465701912,51.17680075275425,2660,2,8,Antwerpen,280000,1958,0,HOUSE,6,6,88,0,0,0,1,14,1,55,2,0,0,0
8636,4.324177215886155,50.814084975691195,1190,0,0,Forest,275000,3819,1,APARTMENT,5,1,72,1,0,0,1,2,0,0,2,0,1,1
8637,5.577531125648646,50.59185028437595,4000,1,7,Liège,349000,682,0,HOUSE,6,2,151,0,0,0,1,20,1,360,4,0,1,0
8639,3.8691914611452813,50.75631465402039,9500,2,9,Geraardsbergen,365000,1465,0,HOUSE,2,3,249,0,0,0,1,50,0,0,3,0,1,0
8640,4.408236007087518,50.87001921742844,1140,0,0,Evere,364000,4136,1,APARTMENT,5,2,88,0,0,0,1,2,0,0,2,0,1,1
8641,2.920364240174513,51.204054302137884,8400,2,10,Oostende,327000,4139,0,HOUSE,5,2,79,0,0,0,1,21,0,0,2,0,1,0
8644,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,395000,3910,1,APARTMENT,5,2,101,0,1,0,1,7,0,0,2,0,0,1
8645,4.375234148039785,50.87298266192055,1040,0,0,Bruxelles,399000,2933,1,APARTMENT,1,2,136,1,0,0,1,17,0,0,2,0,1,1
8648,4.46823712928013,51.215898155997046,2100,2,8,Antwerpen,229000,2160,1,APARTMENT,6,2,106,0,0,0,1,5,0,0,2,0,0,0
8649,4.940164879461028,51.3289645417869,2300,2,8,Turnhout,499000,2376,1,PENTHOUSE,5,3,210,1,0,0,1,200,0,0,4,0,1,1
8650,4.186788555395837,50.909272565714325,1730,2,6,Asse,317500,3112,1,GROUND_FLOOR,5,2,89,0,0,0,1,24,1,13,2,0,0,0
8651,4.431973220636266,51.19213330584189,2600,2,8,Antwerpen,249000,2490,1,APARTMENT,4,2,100,0,0,0,1,10,0,0,2,0,0,1
8652,3.5164337686649905,50.98786919100002,9800,2,9,Deinze,695000,466,0,VILLA,6,3,385,1,0,0,1,124,1,1105,4,1,0,0
8653,3.2071828570336303,51.232646001171425,8000,2,10,Brugge,689000,3914,1,APARTMENT,0,3,176,0,0,0,1,24,0,0,3,0,0,1
8654,4.321383766329789,50.881720021988286,1090,0,0,Jette,435000,2636,0,APARTMENT_BLOCK,4,3,147,0,0,0,1,9,1,18,2,0,0,0
